healthy_index,healthy_path,healthy_stem,label_global_index,label_path,label_stem,case_dir,center,crop_bounds,used_label_crop_voxels,final_label_voxels
11,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI212-HH-1643-T1_preprocessed.nii.gz,IXI212-HH-1643-T1,22,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02992-101-seg.nii.gz,BraTS-GLI-02992-101,data\IXI_GLI\IXI212-HH-1643-T1__BraTS-GLI-02992-101,"[127, 80, 60]","{""x_min"": 79, ""x_max"": 175, ""y_min"": 32, ""y_max"": 128, ""z_min"": 12, ""z_max"": 108}",16644,16644
12,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI525-HH-2413-T1_preprocessed.nii.gz,IXI525-HH-2413-T1,25,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02152-101-seg.nii.gz,BraTS-GLI-02152-101,data\IXI_GLI\IXI525-HH-2413-T1__BraTS-GLI-02152-101,"[147, 201, 124]","{""x_min"": 99, ""x_max"": 195, ""y_min"": 153, ""y_max"": 249, ""z_min"": 76, ""z_max"": 172}",67194,67194
13,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI505-Guys-1026-T1_preprocessed.nii.gz,IXI505-Guys-1026-T1,28,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02561-100-seg.nii.gz,BraTS-GLI-02561-100,data\IXI_GLI\IXI505-Guys-1026-T1__BraTS-GLI-02561-100,"[129, 111, 170]","{""x_min"": 81, ""x_max"": 177, ""y_min"": 63, ""y_max"": 159, ""z_min"": 122, ""z_max"": 218}",28742,28742
14,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI410-Guys-0958-T1_preprocessed.nii.gz,IXI410-Guys-0958-T1,32,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02236-102-seg.nii.gz,BraTS-GLI-02236-102,data\IXI_GLI\IXI410-Guys-0958-T1__BraTS-GLI-02236-102,"[174, 105, 64]","{""x_min"": 126, ""x_max"": 222, ""y_min"": 57, ""y_max"": 153, ""z_min"": 16, ""z_max"": 112}",10043,10043
15,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI111-Guys-0734-T1_preprocessed.nii.gz,IXI111-Guys-0734-T1,33,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02101-100-seg.nii.gz,BraTS-GLI-02101-100,data\IXI_GLI\IXI111-Guys-0734-T1__BraTS-GLI-02101-100,"[97, 82, 138]","{""x_min"": 49, ""x_max"": 145, ""y_min"": 34, ""y_max"": 130, ""z_min"": 90, ""z_max"": 186}",39551,39551
16,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI240-Guys-0834-T1_preprocessed.nii.gz,IXI240-Guys-0834-T1,35,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02164-101-seg.nii.gz,BraTS-GLI-02164-101,data\IXI_GLI\IXI240-Guys-0834-T1__BraTS-GLI-02164-101,"[184, 98, 143]","{""x_min"": 136, ""x_max"": 232, ""y_min"": 50, ""y_max"": 146, ""z_min"": 95, ""z_max"": 191}",18635,18635
17,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI335-HH-1906-T1_preprocessed.nii.gz,IXI335-HH-1906-T1,37,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02152-104-seg.nii.gz,BraTS-GLI-02152-104,data\IXI_GLI\IXI335-HH-1906-T1__BraTS-GLI-02152-104,"[93, 165, 126]","{""x_min"": 45, ""x_max"": 141, ""y_min"": 117, ""y_max"": 213, ""z_min"": 78, ""z_max"": 174}",39542,39542
18,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI115-Guys-0738-T1_preprocessed.nii.gz,IXI115-Guys-0738-T1,39,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02973-100-seg.nii.gz,BraTS-GLI-02973-100,data\IXI_GLI\IXI115-Guys-0738-T1__BraTS-GLI-02973-100,"[129, 144, 188]","{""x_min"": 81, ""x_max"": 177, ""y_min"": 96, ""y_max"": 192, ""z_min"": 140, ""z_max"": 236}",21313,21313
19,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI170-Guys-0843-T1_preprocessed.nii.gz,IXI170-Guys-0843-T1,51,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02062-101-seg.nii.gz,BraTS-GLI-02062-101,data\IXI_GLI\IXI170-Guys-0843-T1__BraTS-GLI-02062-101,"[82, 126, 127]","{""x_min"": 34, ""x_max"": 130, ""y_min"": 78, ""y_max"": 174, ""z_min"": 79, ""z_max"": 175}",38907,38907
20,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI424-IOP-0991-T1_preprocessed.nii.gz,IXI424-IOP-0991-T1,56,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02765-100-seg.nii.gz,BraTS-GLI-02765-100,data\IXI_GLI\IXI424-IOP-0991-T1__BraTS-GLI-02765-100,"[84, 64, 127]","{""x_min"": 36, ""x_max"": 132, ""y_min"": 16, ""y_max"": 112, ""z_min"": 79, ""z_max"": 175}",29642,29642
21,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI566-HH-2535-T1_preprocessed.nii.gz,IXI566-HH-2535-T1,58,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02899-101-seg.nii.gz,BraTS-GLI-02899-101,data\IXI_GLI\IXI566-HH-2535-T1__BraTS-GLI-02899-101,"[136, 177, 134]","{""x_min"": 88, ""x_max"": 184, ""y_min"": 129, ""y_max"": 225, ""z_min"": 86, ""z_max"": 182}",77577,77577
22,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI603-HH-2701-T1_preprocessed.nii.gz,IXI603-HH-2701-T1,60,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02112-103-seg.nii.gz,BraTS-GLI-02112-103,data\IXI_GLI\IXI603-HH-2701-T1__BraTS-GLI-02112-103,"[79, 112, 115]","{""x_min"": 31, ""x_max"": 127, ""y_min"": 64, ""y_max"": 160, ""z_min"": 67, ""z_max"": 163}",37570,37570
23,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI618-Guys-1091-T1_preprocessed.nii.gz,IXI618-Guys-1091-T1,62,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-00005-100-seg.nii.gz,BraTS-GLI-00005-100,data\IXI_GLI\IXI618-Guys-1091-T1__BraTS-GLI-00005-100,"[91, 89, 95]","{""x_min"": 43, ""x_max"": 139, ""y_min"": 41, ""y_max"": 137, ""z_min"": 47, ""z_max"": 143}",27206,27206
24,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI344-Guys-0905-T1_preprocessed.nii.gz,IXI344-Guys-0905-T1,70,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02721-100-seg.nii.gz,BraTS-GLI-02721-100,data\IXI_GLI\IXI344-Guys-0905-T1__BraTS-GLI-02721-100,"[143, 100, 121]","{""x_min"": 95, ""x_max"": 191, ""y_min"": 52, ""y_max"": 148, ""z_min"": 73, ""z_max"": 169}",46166,46166
25,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI473-IOP-1137-T1_preprocessed.nii.gz,IXI473-IOP-1137-T1,72,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02198-103-seg.nii.gz,BraTS-GLI-02198-103,data\IXI_GLI\IXI473-IOP-1137-T1__BraTS-GLI-02198-103,"[173, 71, 102]","{""x_min"": 125, ""x_max"": 221, ""y_min"": 23, ""y_max"": 119, ""z_min"": 54, ""z_max"": 150}",45260,45260
26,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI034-HH-1260-T1_preprocessed.nii.gz,IXI034-HH-1260-T1,76,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02914-101-seg.nii.gz,BraTS-GLI-02914-101,data\IXI_GLI\IXI034-HH-1260-T1__BraTS-GLI-02914-101,"[124, 66, 100]","{""x_min"": 76, ""x_max"": 172, ""y_min"": 18, ""y_max"": 114, ""z_min"": 52, ""z_max"": 148}",106532,106532
27,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI103-Guys-0750-T1_preprocessed.nii.gz,IXI103-Guys-0750-T1,80,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02912-100-seg.nii.gz,BraTS-GLI-02912-100,data\IXI_GLI\IXI103-Guys-0750-T1__BraTS-GLI-02912-100,"[87, 117, 161]","{""x_min"": 39, ""x_max"": 135, ""y_min"": 69, ""y_max"": 165, ""z_min"": 113, ""z_max"": 209}",18489,18489
28,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI204-HH-1651-T1_preprocessed.nii.gz,IXI204-HH-1651-T1,83,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02995-101-seg.nii.gz,BraTS-GLI-02995-101,data\IXI_GLI\IXI204-HH-1651-T1__BraTS-GLI-02995-101,"[117, 76, 168]","{""x_min"": 69, ""x_max"": 165, ""y_min"": 28, ""y_max"": 124, ""z_min"": 120, ""z_max"": 216}",48856,48856
29,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI582-Guys-1127-T1_preprocessed.nii.gz,IXI582-Guys-1127-T1,84,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02193-104-seg.nii.gz,BraTS-GLI-02193-104,data\IXI_GLI\IXI582-Guys-1127-T1__BraTS-GLI-02193-104,"[81, 62, 94]","{""x_min"": 33, ""x_max"": 129, ""y_min"": 14, ""y_max"": 110, ""z_min"": 46, ""z_max"": 142}",29006,29006
30,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI169-Guys-0842-T1_preprocessed.nii.gz,IXI169-Guys-0842-T1,88,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02887-101-seg.nii.gz,BraTS-GLI-02887-101,data\IXI_GLI\IXI169-Guys-0842-T1__BraTS-GLI-02887-101,"[150, 152, 102]","{""x_min"": 102, ""x_max"": 198, ""y_min"": 104, ""y_max"": 200, ""z_min"": 54, ""z_max"": 150}",6566,6566
31,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI302-HH-1883-T1_preprocessed.nii.gz,IXI302-HH-1883-T1,91,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02798-101-seg.nii.gz,BraTS-GLI-02798-101,data\IXI_GLI\IXI302-HH-1883-T1__BraTS-GLI-02798-101,"[101, 106, 94]","{""x_min"": 53, ""x_max"": 149, ""y_min"": 58, ""y_max"": 154, ""z_min"": 46, ""z_max"": 142}",3701,3701
32,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI326-Guys-0907-T1_preprocessed.nii.gz,IXI326-Guys-0907-T1,92,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02885-101-seg.nii.gz,BraTS-GLI-02885-101,data\IXI_GLI\IXI326-Guys-0907-T1__BraTS-GLI-02885-101,"[112, 62, 104]","{""x_min"": 64, ""x_max"": 160, ""y_min"": 14, ""y_max"": 110, ""z_min"": 56, ""z_max"": 152}",14940,14940
33,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI552-Guys-1063-T1_preprocessed.nii.gz,IXI552-Guys-1063-T1,98,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02239-103-seg.nii.gz,BraTS-GLI-02239-103,data\IXI_GLI\IXI552-Guys-1063-T1__BraTS-GLI-02239-103,"[85, 139, 127]","{""x_min"": 37, ""x_max"": 133, ""y_min"": 91, ""y_max"": 187, ""z_min"": 79, ""z_max"": 175}",20490,20490
34,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI591-Guys-1084-T1_preprocessed.nii.gz,IXI591-Guys-1084-T1,102,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-00027-101-seg.nii.gz,BraTS-GLI-00027-101,data\IXI_GLI\IXI591-Guys-1084-T1__BraTS-GLI-00027-101,"[139, 105, 73]","{""x_min"": 91, ""x_max"": 187, ""y_min"": 57, ""y_max"": 153, ""z_min"": 25, ""z_max"": 121}",42005,42005
35,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI236-Guys-0817-T1_preprocessed.nii.gz,IXI236-Guys-0817-T1,103,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-03051-100-seg.nii.gz,BraTS-GLI-03051-100,data\IXI_GLI\IXI236-Guys-0817-T1__BraTS-GLI-03051-100,"[143, 60, 94]","{""x_min"": 95, ""x_max"": 191, ""y_min"": 12, ""y_max"": 108, ""z_min"": 46, ""z_max"": 142}",66987,66987
36,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI662-Guys-1120-T1_preprocessed.nii.gz,IXI662-Guys-1120-T1,105,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02772-101-seg.nii.gz,BraTS-GLI-02772-101,data\IXI_GLI\IXI662-Guys-1120-T1__BraTS-GLI-02772-101,"[94, 105, 96]","{""x_min"": 46, ""x_max"": 142, ""y_min"": 57, ""y_max"": 153, ""z_min"": 48, ""z_max"": 144}",76473,76473
37,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI369-Guys-0924-T1_preprocessed.nii.gz,IXI369-Guys-0924-T1,110,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-03018-100-seg.nii.gz,BraTS-GLI-03018-100,data\IXI_GLI\IXI369-Guys-0924-T1__BraTS-GLI-03018-100,"[81, 65, 63]","{""x_min"": 33, ""x_max"": 129, ""y_min"": 17, ""y_max"": 113, ""z_min"": 15, ""z_max"": 111}",5809,5809
38,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI550-Guys-1069-T1_preprocessed.nii.gz,IXI550-Guys-1069-T1,113,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02112-100-seg.nii.gz,BraTS-GLI-02112-100,data\IXI_GLI\IXI550-Guys-1069-T1__BraTS-GLI-02112-100,"[122, 205, 122]","{""x_min"": 74, ""x_max"": 170, ""y_min"": 157, ""y_max"": 253, ""z_min"": 74, ""z_max"": 170}",54268,54268
39,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI208-Guys-0808-T1_preprocessed.nii.gz,IXI208-Guys-0808-T1,115,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02758-101-seg.nii.gz,BraTS-GLI-02758-101,data\IXI_GLI\IXI208-Guys-0808-T1__BraTS-GLI-02758-101,"[155, 106, 82]","{""x_min"": 107, ""x_max"": 203, ""y_min"": 58, ""y_max"": 154, ""z_min"": 34, ""z_max"": 130}",30769,30769
40,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI370-Guys-0921-T1_preprocessed.nii.gz,IXI370-Guys-0921-T1,116,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02174-101-seg.nii.gz,BraTS-GLI-02174-101,data\IXI_GLI\IXI370-Guys-0921-T1__BraTS-GLI-02174-101,"[125, 83, 57]","{""x_min"": 77, ""x_max"": 173, ""y_min"": 35, ""y_max"": 131, ""z_min"": 9, ""z_max"": 105}",47495,47495
41,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI504-Guys-1025-T1_preprocessed.nii.gz,IXI504-Guys-1025-T1,118,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02115-100-seg.nii.gz,BraTS-GLI-02115-100,data\IXI_GLI\IXI504-Guys-1025-T1__BraTS-GLI-02115-100,"[177, 140, 105]","{""x_min"": 129, ""x_max"": 225, ""y_min"": 92, ""y_max"": 188, ""z_min"": 57, ""z_max"": 153}",6407,6407
42,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI331-IOP-0892-T1_preprocessed.nii.gz,IXI331-IOP-0892-T1,123,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02115-101-seg.nii.gz,BraTS-GLI-02115-101,data\IXI_GLI\IXI331-IOP-0892-T1__BraTS-GLI-02115-101,"[183, 87, 141]","{""x_min"": 135, ""x_max"": 231, ""y_min"": 39, ""y_max"": 135, ""z_min"": 93, ""z_max"": 189}",4137,4137
43,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI107-Guys-0761-T1_preprocessed.nii.gz,IXI107-Guys-0761-T1,124,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02786-100-seg.nii.gz,BraTS-GLI-02786-100,data\IXI_GLI\IXI107-Guys-0761-T1__BraTS-GLI-02786-100,"[137, 122, 189]","{""x_min"": 89, ""x_max"": 185, ""y_min"": 74, ""y_max"": 170, ""z_min"": 141, ""z_max"": 237}",47690,47690
44,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI508-HH-2268-T1_preprocessed.nii.gz,IXI508-HH-2268-T1,125,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02209-104-seg.nii.gz,BraTS-GLI-02209-104,data\IXI_GLI\IXI508-HH-2268-T1__BraTS-GLI-02209-104,"[139, 84, 132]","{""x_min"": 91, ""x_max"": 187, ""y_min"": 36, ""y_max"": 132, ""z_min"": 84, ""z_max"": 180}",90360,90360
45,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI073-Guys-0755-T1_preprocessed.nii.gz,IXI073-Guys-0755-T1,127,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02838-100-seg.nii.gz,BraTS-GLI-02838-100,data\IXI_GLI\IXI073-Guys-0755-T1__BraTS-GLI-02838-100,"[176, 66, 130]","{""x_min"": 128, ""x_max"": 224, ""y_min"": 18, ""y_max"": 114, ""z_min"": 82, ""z_max"": 178}",34471,34471
